departamento,municipio,proyectos,presupuesto_vigente,ejecutado_total,no_ejecutado,riesgo_fiscal_total,riesgo_fiscal_prom,n_no_iniciado,n_en_ejecucion,n_en_meseta,n_finalizado,ratio_ejec_agg,n_inconsistencia_estado_momento,presupuesto_inconsistencia_estado_momento,score_concentracion_baja_ejec
Huehuetenango,San Sebastián Coatán,38,13509427.4,5435890.2,8073537.2,78.01445265950244,2.0530119120921695,28,3,6,1,0.4023775426632812,1,0.0,221.75803442882972
Huehuetenango,San Sebastián Huehuetenango,61,57022608.1,20527071.93,36495536.17,242.39126033140795,3.973627218547671,26,6,24,5,0.359981288369025,5,1129423.0,409.1964181102442
Huehuetenango,Santa Ana Huista,44,43301045.2,17107689.84,26193355.36,161.2822795182799,3.6655063526881793,23,15,6,0,0.39508722620857195,0,0.0,208.4773029835466
Huehuetenango,Santa Bárbara,61,82696464.52,53666938.76,29029525.759999998,207.07409006762686,3.394657214223391,34,10,12,5,0.6489629160267274,5,5571937.5,198.38906787861785
Huehuetenango,Santa Eulalia,60,34043819.81,3708118.98,30335700.83,180.94004796719616,3.015667466119936,55,2,3,0,0.10892194238763948,0,0.0,562.5295502649994
Huehuetenango,Santiago Chimaltenango,57,22666104.1,1590000.0,21076104.1,315.15181173639246,5.528979153270043,53,0,2,2,0.0701487998548458,2,224870.0,541.742014815095
Huehuetenango,Tectitán,62,28359908.0,1521700.6,26838207.4,332.0951136490563,5.356372800791231,59,2,1,0,0.053656753752515704,0,0.0,604.1172500524799
Huehuetenango,Todos Santos Cuchumatán,60,62877855.79,21331017.98,41546837.81,280.1135064159436,4.668558440265727,38,6,7,9,0.3392453147772964,9,4548217.9,348.8303152661874
Huehuetenango,Unión Cantinil,60,50465549.95,27263846.8,23201703.15,154.8729128221878,2.58121521370313,58,1,1,0,0.5402466995210066,0,0.0,298.4566409168217
Izabal,El Estor,77,137704025.97,37890446.94,99813579.03,664.3269168665538,8.627622296968232,22,35,20,0,0.2751585995623306,0,0.0,410.23605170317944
Izabal,Livingston,59,76123233.22,32944484.49,43178748.73,371.66527812258266,6.299411493603096,16,27,16,0,0.4327783134853031,0,0.0,240.87637254551228
Izabal,Los Amates,51,51972794.0,3614068.2,48358725.8,440.8352071514381,8.64382759120467,48,1,2,0,0.069537693124599,0,0.0,519.0673790384503
Izabal,Morales,87,198223629.27,68003813.52,130219815.75,610.0992013558757,7.012634498343399,57,23,6,1,0.34306613076573295,1,2232324.0,502.0264032328158
Izabal,Puerto Barrios,76,393883188.53,81657061.06,312226127.47,600.2867966375301,7.898510482072764,43,20,13,0,0.20731288726678068,0,0.0,583.6128873336947
Jalapa,Jalapa,94,201136643.8,79276251.33,121860392.47,552.9512802271903,5.882460427948833,57,22,15,0,0.3941412655211064,0,0.0,546.7512574175471
Jalapa,Mataquescuintla,71,66784736.99,22619250.96,44165486.03,609.2509431613848,8.580999199456125,33,24,13,1,0.3386889277318991,1,0.0,371.7427509570007
Jalapa,Monjas,47,45799283.2,12898509.600000001,32900773.6,206.1283302953197,4.385709155219568,36,4,7,0,0.2816312548751855,0,0.0,357.3466189151782
Jalapa,Multimunicipal - Jalapa,1,0.0,0.0,0.0,0.0,0.0,1,0,0,0,,0,0.0,0.0
Jalapa,San Carlos Alzatate,67,80026391.16,28999778.62,51026612.54,505.5485706993048,7.545501055213504,26,32,9,0,0.3623776881556432,0,0.0,276.16011205733594
Jalapa,San Luis Jilotepeque,55,66471767.4,32229341.05,34242426.35,251.55544984468628,4.573735451721569,11,33,6,5,0.4848575915855669,5,802440.0,115.05827765945018
Jalapa,San Manuel Chaparrón,49,45076143.88,12530156.86,32545987.02,428.9853010929334,8.75480206312109,23,7,19,0,0.27797756820896896,0,0.0,381.7447483538302
Jalapa,San Pedro Pinula,129,118356067.05,33957419.02,84398648.03,966.110570723577,7.489229230415326,57,14,52,6,0.28690898461212433,6,1867840.8,1018.0452345915867
Jutiapa,Agua Blanca,49,30417696.0,13007956.4,17409739.6,109.06536171300442,2.2258237084286616,28,8,13,0,0.4276443685938606,0,0.0,278.10822563231704
Jutiapa,Asunción Mita,48,44104495.83,8778498.43,35325997.4,183.96404194345132,3.832584207155236,37,5,6,0,0.1990386300715593,0,0.0,394.7602384967842
Jutiapa,Atescatempa,60,46019137.75,17345455.15,28673682.6,143.49924902278872,2.391654150379812,41,8,11,0,0.37691829960460305,0,0.0,378.1938541175414
Jutiapa,Comapa,66,45814057.2,17699118.46,28114938.740000002,410.531717813903,6.220177542634894,31,15,20,0,0.386325061383125,0,0.0,385.38026118865344
Jutiapa,Conguaco,50,59894715.2,19460703.96,39975912.44,372.14877794994374,7.442975558998874,26,3,14,7,0.32491520988148886,7,5432642.0,336.08768724766287
Jutiapa,El Adelanto,55,32547230.89,16884491.23,15662739.66,180.29758763348576,3.2781379569724685,25,9,21,0,0.5187689019402166,0,0.0,273.04140787729676
Jutiapa,El Progreso,64,104790546.78,48692937.09,56097609.69,320.7766614967153,5.012135335886176,24,14,18,8,0.4646691766216968,8,4830047.82,294.6090023709467
Jutiapa,Jalpatagua,55,70616529.02,40659609.95,29956919.07,337.7172063424855,6.140312842590645,15,4,36,0,0.5757803521960758,0,0.0,297.47285521352967
Jutiapa,Jerez,73,45032070.0,15341333.01,29690736.990000002,227.06450091595428,3.110472615287045,42,8,23,0,0.3406757231013364,0,0.0,518.2161517600036
Jutiapa,Jutiapa,118,142851508.32,27516846.86,115334661.46,636.5783300976896,5.394731610997369,54,17,47,0,0.19262552550974704,0,0.0,1076.383134752266
Jutiapa,Moyuta,52,167672228.9,65217850.86,102454378.04,170.12181359308877,3.27157333832863,22,13,17,0,0.38896036205790546,0,0.0,321.68982263270095
Jutiapa,Multimunicipal - Jutiapa,2,0.0,0.0,0.0,0.0,0.0,2,0,0,0,,0,0.0,0.0
Jutiapa,Pasaco,50,79722497.32,46489948.559999995,33232548.76,319.01235322546097,6.380247064509219,23,22,5,0,0.5831471682753854,0,0.0,142.58383285528168
Jutiapa,Quesada,68,64051794.86,28433454.94,34563339.92,413.31035766741167,6.078093495108995,35,26,6,1,0.4439134766191625,1,86600.0,267.8865806425905
Jutiapa,San José Acatempa,49,60486024.8,18524577.51,41961447.29,175.18568297908664,3.57521801998136,33,6,10,0,0.3062621088301376,0,0.0,357.99385130337555
Jutiapa,Santa Catarina Mita,62,60773371.51,26474478.32,34298893.19,258.5614011522444,4.17034517987491,19,10,33,0,0.43562628931395947,0,0.0,392.46508176704157
