snip,costo_total_n_distinct,costo_total_stable_flag,costo_total_first,costo_total_last,monto_programado_anual_n_distinct,monto_programado_anual_stable_flag,monto_programado_anual_first,monto_programado_anual_last,montro_asignado_anual_n_distinct,montro_asignado_anual_stable_flag,montro_asignado_anual_first,montro_asignado_anual_last,monto_vigente_anual_n_distinct,monto_vigente_anual_stable_flag,monto_vigente_anual_first,monto_vigente_anual_last
331448,1,0,1620598.0,1620598.0,1,0,1470598.0,1470598.0,1,0,1470598.0,1470598.0,1,0,1470598.0,1470598.0
331450,1,0,988640.0,988640.0,1,0,1442500.0,1442500.0,1,0,1442500.0,1442500.0,1,0,1442500.0,1442500.0
331451,1,0,1633035.0,1633035.0,1,0,1582035.0,1582035.0,1,0,1582035.0,1582035.0,1,0,1582035.0,1582035.0
331452,1,0,1004000.0,1004000.0,1,0,1000000.0,1000000.0,1,0,1000000.0,1000000.0,1,0,1000000.0,1000000.0
331454,2,1,3950000.0,4950000.0,1,0,0.0,0.0,2,1,0.0,4954280.0,2,1,0.0,4954280.0
331464,1,0,303000.0,303000.0,1,0,0.0,0.0,1,0,0.0,0.0,1,0,0.0,0.0
331466,1,0,1641000.0,1641000.0,1,0,1641000.0,1641000.0,1,0,1641000.0,1641000.0,1,0,1641000.0,1641000.0
331467,1,0,2500000.0,2500000.0,1,0,2500000.0,2500000.0,1,0,2500000.0,2500000.0,1,0,2500000.0,2500000.0
331468,1,0,2500000.0,2500000.0,2,1,2500000.0,2499120.5,1,0,2500000.0,2500000.0,1,0,2500000.0,2500000.0
331469,1,0,2505000.0,2505000.0,1,0,2500000.0,2500000.0,1,0,2500000.0,2500000.0,1,0,2500000.0,2500000.0
331471,1,0,2099267.0,2099267.0,1,0,75153.76,75153.76,1,0,0.0,0.0,2,1,0.0,75153.76
331472,1,0,1283512.75,1283512.75,1,0,1183112.0,1183112.0,1,0,1183112.0,1183112.0,1,0,1183112.0,1183112.0
331474,1,0,2148572.0,2148572.0,1,0,2048174.0,2048174.0,1,0,2048174.0,2048174.0,1,0,2048174.0,2048174.0
331476,1,0,1946506.55,1946506.55,1,0,1845617.0,1845617.0,1,0,1845617.0,1845617.0,1,0,1845617.0,1845617.0
331477,1,0,1032026.95,1032026.95,1,0,0.0,0.0,1,0,0.0,0.0,1,0,0.0,0.0
